Product_name,Div_id,Group_id,Class_id,Cat_id
"Agricultural, farming, fishing, forestry and related products",3000000,,,
Agricultural and horticultural products,3000000,3100000,,
"Crops, products of market gardening and horticulture",3000000,3100000,3110000,
Seeds,3000000,3100000,3110000,3111000
Soya beans,3000000,3100000,3110000,3111100
Peanuts,3000000,3100000,3110000,3111200
Sunflower seeds,3000000,3100000,3110000,3111300
Cotton seeds,3000000,3100000,3110000,3111400
Sesame seeds,3000000,3100000,3110000,3111500
Mustard seeds,3000000,3100000,3110000,3111600
Vegetable seeds,3000000,3100000,3110000,3111700
Fruit seeds,3000000,3100000,3110000,3111800
Flower seeds,3000000,3100000,3110000,3111900
Unmanufactured tobacco,3000000,3100000,3110000,3112000
Plants used for sugar manufacturing,3000000,3100000,3110000,3113000
Sugar beet,3000000,3100000,3110000,3113100
Sugar cane,3000000,3100000,3110000,3113200
Straw and forage,3000000,3100000,3110000,3114000
Straw,3000000,3100000,3110000,3114100
Forage,3000000,3100000,3110000,3114200
Raw vegetable materials,3000000,3100000,3110000,3115000
Raw vegetable materials used in textile production,3000000,3100000,3110000,3115100
Cotton,3000000,3100000,3110000,3115110
Jute,3000000,3100000,3110000,3115120
Flax,3000000,3100000,3110000,3115130
Natural rubber and latex and associated products,3000000,3100000,3110000,3116000
Natural rubber,3000000,3100000,3110000,3116100
Natural latex,3000000,3100000,3110000,3116200
Latex products,3000000,3100000,3110000,3116300
Plants used in specific fields,3000000,3100000,3110000,3117000
"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes",3000000,3100000,3110000,3117100
Plants used in perfumery,3000000,3100000,3110000,3117110
Plants used in pharmacy,3000000,3100000,3110000,3117120
Plants used for insecticidal purposes,3000000,3100000,3110000,3117130
Plants used for fungicidal or similar purposes,3000000,3100000,3110000,3117140
Seeds of plants used in specific fields,3000000,3100000,3110000,3117200
Horticultural and nursery products,3000000,3100000,3120000,
Horticultural products,3000000,3100000,3120000,3121000
"Live plants, bulbs, roots, cuttings and slips",3000000,3100000,3120000,3121100
Cut flowers,3000000,3100000,3120000,3121200
Floral arrangements,3000000,3100000,3120000,3121210
Beverage and spice crops,3000000,3100000,3130000,
Beverage crops,3000000,3100000,3130000,3131000
Coffee beans,3000000,3100000,3130000,3131100
Tea bushes,3000000,3100000,3130000,3131200
Maté,3000000,3100000,3130000,3131300
Cocoa beans,3000000,3100000,3130000,3131400
Unprocessed spices,3000000,3100000,3130000,3132000
Animal products and related products,3000000,3100000,3140000,
Bulls' semen,3000000,3100000,3140000,3141000
Animal products,3000000,3100000,3140000,3142000
Natural honey,3000000,3100000,3140000,3142100
Snails,3000000,3100000,3140000,3142200
Edible products of animal origin,3000000,3100000,3140000,3142300
Waxes,3000000,3100000,3140000,3142400
Eggs,3000000,3100000,3140000,3142500
Products of mixed farming,3000000,3100000,3140000,3143000
Agricultural supplies,3000000,3100000,3140000,3144000
"Cereals, potatoes, vegetables, fruits and nuts",3000000,3200000,,
Cereals and potatoes,3000000,3200000,3210000,
Cereals,3000000,3200000,3210000,3211000
Wheat,3000000,3200000,3210000,3211100
Durum wheat,3000000,3200000,3210000,3211110
Soft wheat,3000000,3200000,3210000,3211120
Maize,3000000,3200000,3210000,3211200
Rice,3000000,3200000,3210000,3211300
Barley,3000000,3200000,3210000,3211400
Rye,3000000,3200000,3210000,3211500
Oats,3000000,3200000,3210000,3211600
Malt,3000000,3200000,3210000,3211700
Grain products,3000000,3200000,3210000,3211900
Potatoes and dried vegetables,3000000,3200000,3210000,3212000
Potatoes,3000000,3200000,3210000,3212100
Dried leguminous vegetables and pulses,3000000,3200000,3210000,3212200
Dried leguminous vegetables,3000000,3200000,3210000,3212210
Lentils,3000000,3200000,3210000,3212211
Chick peas,3000000,3200000,3210000,3212212
Dried peas,3000000,3200000,3210000,3212213
Pulses,3000000,3200000,3210000,3212220
"Vegetables, fruits and nuts",3000000,3200000,3220000,
Vegetables,3000000,3200000,3220000,3221000
Root and tuber vegetables,3000000,3200000,3220000,3221100
Root vegetables,3000000,3200000,3220000,3221110
Beetroot,3000000,3200000,3220000,3221111
Carrots,3000000,3200000,3220000,3221112
Onions,3000000,3200000,3220000,3221113
Turnips,3000000,3200000,3220000,3221114
Tuber vegetables,3000000,3200000,3220000,3221120
Fruit vegetables,3000000,3200000,3220000,3221200
Beans,3000000,3200000,3220000,3221210
Broad beans,3000000,3200000,3220000,3221211
Green beans,3000000,3200000,3220000,3221212
Runner beans,3000000,3200000,3220000,3221213
Peas,3000000,3200000,3220000,3221220
Garden peas,3000000,3200000,3220000,3221221
Mange-tout,3000000,3200000,3220000,3221222
Peppers,3000000,3200000,3220000,3221230
Tomatoes,3000000,3200000,3220000,3221240
Courgettes,3000000,3200000,3220000,3221250
Mushrooms,3000000,3200000,3220000,3221260
Cucumbers,3000000,3200000,3220000,3221270
Leaf vegetables,3000000,3200000,3220000,3221300
Lettuce,3000000,3200000,3220000,3221310
Salad leaves,3000000,3200000,3220000,3221320
Artichokes,3000000,3200000,3220000,3221330
Spinach,3000000,3200000,3220000,3221340
Cabbage vegetables,3000000,3200000,3220000,3221400
Cabbage,3000000,3200000,3220000,3221410
Cauliflower,3000000,3200000,3220000,3221420
Broccoli,3000000,3200000,3220000,3221430
Brussels sprouts,3000000,3200000,3220000,3221440
Fruit and nuts,3000000,3200000,3220000,3222000
Tropical fruit and nuts,3000000,3200000,3220000,3222100
Tropical fruit,3000000,3200000,3220000,3222110
Bananas,3000000,3200000,3220000,3222111
Pineapples,3000000,3200000,3220000,3222112
Mangoes,3000000,3200000,3220000,3222113
Dates,3000000,3200000,3220000,3222114
Raisins,3000000,3200000,3220000,3222115
Figs,3000000,3200000,3220000,3222116
Avocados,3000000,3200000,3220000,3222117
Kiwi fruit,3000000,3200000,3220000,3222118
Coconuts,3000000,3200000,3220000,3222120
Citrus fruit,3000000,3200000,3220000,3222200
Lemons,3000000,3200000,3220000,3222210
Oranges,3000000,3200000,3220000,3222220
Grapefruit,3000000,3200000,3220000,3222230
Tangerines,3000000,3200000,3220000,3222240
Limes,3000000,3200000,3220000,3222250
Non-tropical fruit,3000000,3200000,3220000,3222300
Berry fruit,3000000,3200000,3220000,3222310
Currants,3000000,3200000,3220000,3222311
Gooseberries,3000000,3200000,3220000,3222312
Strawberries,3000000,3200000,3220000,3222313
Raspberries,3000000,3200000,3220000,3222314
Cranberries,3000000,3200000,3220000,3222315
"Apples, pears and quinces",3000000,3200000,3220000,3222320
Apples,3000000,3200000,3220000,3222321
Pears,3000000,3200000,3220000,3222322
Quinces,3000000,3200000,3220000,3222323
Stone fruit,3000000,3200000,3220000,3222330
Apricots,3000000,3200000,3220000,3222331
Peaches,3000000,3200000,3220000,3222332
Cherries,3000000,3200000,3220000,3222333
Plums,3000000,3200000,3220000,3222334
Grapes,3000000,3200000,3220000,3222340
Table grapes,3000000,3200000,3220000,3222341
Wine grapes,3000000,3200000,3220000,3222342
Olives,3000000,3200000,3220000,3222400
"Farming, hunting and fishing products",3000000,3300000,,
"Fish, crustaceans and aquatic products",3000000,3300000,3310000,
Fish,3000000,3300000,3310000,3311000
Flat fish,3000000,3300000,3310000,3311100
Sole,3000000,3300000,3310000,3311110
Plaice,3000000,3300000,3310000,3311120
Fish of the cod family,3000000,3300000,3310000,3311200
Cod,3000000,3300000,3310000,3311210
Pollock,3000000,3300000,3310000,3311220
Hake,3000000,3300000,3310000,3311230
Haddock,3000000,3300000,3310000,3311240
Herring,3000000,3300000,3310000,3311300
Tuna,3000000,3300000,3310000,3311400
Whiting,3000000,3300000,3310000,3311500
Whitebait,3000000,3300000,3310000,3311600
Salmon,3000000,3300000,3310000,3311700
