Title,Address,Ref No,Received Date,Validated Date,Status
Prior approval application for the erection of a further three storeys to provide an additional 9no. flats.,93-95 Commercial Road Swindon SN1 5PH,S/PAOTH/22/0050,Wed 05 Jan 2022,Wed 05 Jan 2022,Application Withdrawn
"Non-material amendment to previous permission S/20/0850 regarding alteration to the position of containers, transformers and inverters, and alteration to the design of battery storage containers, transformers and inverters.",Land At Brindley Close Cheney Manor Industrial Estate Swindon,S/AMEND/21/1977,Mon 20 Dec 2021,Tue 21 Dec 2021,Minor Amendment Approved
"Non-material amendment to previous application S/19/0644 regarding alteration to the position of battery storage containers, transformers, inverters and containers, and alteration to the design of battery storage containers, transformers and inverters.",Land At Brindley Close Cheney Manor Industrial Estate Swindon,S/AMEND/21/1978,Mon 20 Dec 2021,Tue 21 Dec 2021,Minor Amendment Approved
"Non-material amendment to previous permission S/18/1072 regarding raising the eave height, minor changes to front elevation, use of prefabricated dormer window and 'dummy' chimney within roof, internal layout modified and bike and bin store relocated.",Land Adjacent To 98 Redcliffe Street Swindon SN2 2BZ,S/AMEND/21/1964,Fri 17 Dec 2021,Fri 17 Dec 2021,Minor Amendment Approved
Non-material amendment to previous permission S/17/0528 regarding the removal of GRP projecting window surrounds on certain plots.,Land At Holdcroft Broad Bush Blunsdon Swindon,S/AMEND/21/1942,Tue 14 Dec 2021,Wed 15 Dec 2021,Application Granted
"Erection of garage to side, conversion of existing garage to habitable space and erection of new roof to existing porch.",Wrens Nest 1 Badbury Lane Badbury Swindon SN4 0EU,S/HOU/21/1928,Mon 13 Dec 2021,Mon 13 Dec 2021,Application Granted
Works to Horse Chestnut within BOS TPO (No.1) 1967 - Retrospective.,Saxon Court Dammas Lane Old Town Swindon,S/TPO/21/1924,Sat 11 Dec 2021,Mon 13 Dec 2021,Application Granted
Erection of two storey side and single storey rear extensions.,6 Spur Way Stratton St Margaret Swindon SN2 7JU,S/HOU/21/1921,Fri 10 Dec 2021,Fri 10 Dec 2021,Application Granted
Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,1 Lydford Close Nine Elms Swindon SN5 5UF,S/LDP/21/1898,Tue 07 Dec 2021,Tue 07 Dec 2021,Application Granted
Erection of single storey side and two storey rear extensions - amendment to previous permission S/HOU/21/1545.,32 Leverton Gate Broome Manor Swindon SN3 1ND,S/HOU/21/1897,Tue 07 Dec 2021,Tue 07 Dec 2021,Application Granted
"Non-material amendment to previous permission S/21/1244 - Alterations to the layout of the compound, including to the boundary fencing, retaining structures, parking and access and drainage strategy",The Great Western Hospital Marlborough Road Swindon SN3 6BB,S/AMEND/21/1889,Mon 06 Dec 2021,Mon 06 Dec 2021,Minor Amendment Approved
Construction of an extended dropped kerb and 3no. off road parking spaces.,16 Bessemer Close Rodbourne Cheney Swindon SN2 1NB,S/HOU/21/1894,Mon 06 Dec 2021,Tue 14 Dec 2021,Application Granted
Erection of a two storey side/rear extension and single storey rear extension.,3 Foxglove Road Haydon Wick Swindon SN25 1SG,S/HOU/21/1887,Sat 04 Dec 2021,Mon 06 Dec 2021,Application Granted
"Prior Approval Notification for the erection of a single storey rear extension measuring 6.0m (from original rear wall), 3.0m (maximum height) and 2.85m (height to eaves).",40 The Knoll Croft Road Swindon SN1 4DQ,S/PHOU/21/1885,Thu 02 Dec 2021,Thu 02 Dec 2021,Unknown
Works to oak tree within BOS TPO (No.1) 1987.,Land Adjacent To Footpath From Piernik Close To Mazurek Way Swindon,S/TPO/21/1874,Wed 01 Dec 2021,Wed 01 Dec 2021,Application Granted
"Prior Approval Notification for the erection of a single storey rear extension measuring 3.25m (from original rear wall), 3.95m (maximum height) and 2.28m (height to eaves).",23 Beaufort Road Wroughton Swindon SN4 9HF,S/PHOU/21/1875,Wed 01 Dec 2021,Fri 03 Dec 2021,Unknown
Erection of a single storey conservatory to rear.,579 Cricklade Road Swindon SN2 5AA,S/HOU/21/1876,Wed 01 Dec 2021,Wed 01 Dec 2021,Application Granted
Erection of a single storey rear extension and conversion of garage into habitable space.,9 Wincombe Road Badbury Park Swindon SN3 6EJ,S/HOU/21/1872,Tue 30 Nov 2021,Thu 02 Dec 2021,Application Granted
Works to trees in a conservation area.,Lane To Badbury Bottom Badbury Swindon,S/TWC/21/1877,Mon 29 Nov 2021,Mon 29 Nov 2021,Application Granted
Erection of single storey side and rear extensions.,45 Kestrel Drive Covingham Swindon SN3 5DP,S/HOU/21/1867,Sat 27 Nov 2021,Mon 29 Nov 2021,Application Granted
Change of use from public open space to domestic garden.,Land Adjacent To 44 Wagtail Close Covingham Swindon SN3 5BL,S/21/1860,Fri 26 Nov 2021,Fri 03 Dec 2021,Unknown
"Conversion of garage into habitable space, erection of a detached garage and associated works.",12 Woodland View Wroughton Swindon SN4 9AB,S/HOU/21/1862,Fri 26 Nov 2021,Fri 26 Nov 2021,Application Granted
Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,46 Warrener Close Groundwell Swindon SN25 4AH,S/LDP/21/1864,Fri 26 Nov 2021,Fri 26 Nov 2021,Application Granted
"Prior Approval Notification for the erection of a single storey rear extension measuring 3.71m (from original rear wall), 3.5m (maximum height) and 2.37m (height to eaves).",17 Rivers Way Highworth Swindon SN6 7EL,S/PHOU/21/1859,Thu 25 Nov 2021,Thu 25 Nov 2021,Unknown
Certificate of lawfulness (Proposed) for the erection of 1no. dwelling and detached double garage.,1 Ilett Crescent Tadpole Garden Village Swindon SN25 2WG,S/LDP/21/1857,Thu 25 Nov 2021,Thu 02 Dec 2021,Application Granted
Erection of a single storey rear extension.,12 Edgeworth Close Westlea Swindon SN5 5WU,S/HOU/21/1842,Wed 24 Nov 2021,Wed 24 Nov 2021,Application Granted
Erection of 2no. single storey rear extensions.,50 Florence Street Gorse Hill Swindon SN2 1BA,S/HOU/21/1841,Wed 24 Nov 2021,Wed 24 Nov 2021,Application Granted
"Erection of first floor side and two storey side link extension, including additional first floor windows.",1 Robinscroft St. Andrews Swindon SN25 2TH,S/HOU/21/1840,Wed 24 Nov 2021,Wed 24 Nov 2021,Application Granted
Erection of two storey and single storey rear extensions.,4 Vanbrugh Gate Broome Manor Swindon SN3 1NQ,S/HOU/21/1834,Tue 23 Nov 2021,Tue 23 Nov 2021,Application Granted
Prior approval application for change of use from Retail/Takeaway and Residential (Class E/Sui Generis/C3) to Residential (Class C3).,52 Morse Street Swindon SN1 5QP,S/PAOTH/21/1837,Mon 22 Nov 2021,Wed 24 Nov 2021,Unknown
Certificate of lawfulness (proposed) for the erection of 1no. rear dormer window.,27 Collingwood Crescent Upper Stratton Swindon SN2 7AN,S/LDP/21/1829,Mon 22 Nov 2021,Wed 24 Nov 2021,Application Granted
Works to a damaged ash tree within BOS TPO (no.1) 1987.,Sevenfields Dental Surgery Woodcutters Mews Groundwell Swindon SN25 4AU,S/TPO/21/1843,Mon 22 Nov 2021,Mon 22 Nov 2021,Application Granted
Erection of a single storey side/rear extension.,11 Coppice Close Woodhall Park Swindon SN2 2RB,S/HOU/21/1821,Thu 18 Nov 2021,Thu 18 Nov 2021,Application Granted
Outline application for the erection of 1no. dwelling with all matters reserved.,Land Adjacent To 20 John Herring Crescent Stratton St Margaret Swindon SN3 4JJ,S/OUT/21/1831,Thu 18 Nov 2021,Thu 18 Nov 2021,Unknown
"Prior Approval Notification for the erection of a single storey rear extension measuring 3.0m (from original rear wall), 4.0m (maximum height) and 3.0m (height to eaves).",13 Swallowfield Avenue Old Walcot Swindon SN3 1DS,S/PHOU/21/1818,Thu 18 Nov 2021,Thu 18 Nov 2021,Unknown
Erection of a single storey side/rear extension.,163 Meadowcroft Stratton St Margaret Swindon SN2 7LW,S/HOU/21/1816,Thu 18 Nov 2021,Thu 18 Nov 2021,Application Granted
"Erection of two/ single storey rear and two storey side extensions, raised roof with rooflights and front canopy.",112 Upham Road Old Walcot Swindon SN3 1DW,S/HOU/21/1814,Thu 18 Nov 2021,Thu 18 Nov 2021,Application Granted
Certificate of Lawful Development (Existing) for the change of use from offices to 8 person HMO (Sui Generis) (Previously 7 person HMO).,27 Milton Road Swindon SN1 5JA,S/LDE/21/1807,Wed 17 Nov 2021,Wed 17 Nov 2021,Application Granted
"Erection of single storey rear, side and front extensions.",17 Grange Drive Stratton St Margaret Swindon SN3 4JQ,S/HOU/21/1826,Wed 17 Nov 2021,Tue 23 Nov 2021,Application Granted
Erection of a single storey rear extension.,25 Darius Way Abbey Meads Swindon SN25 4XT,S/HOU/21/1804,Wed 17 Nov 2021,Wed 17 Nov 2021,Application Granted
Erection of a two storey side extension.,1 The Granary Russley Park Bishopstone Swindon SN8 2JY,S/HOU/21/1812,Wed 17 Nov 2021,Wed 17 Nov 2021,Application Granted
Erection of a two storey side/rear extension and single storey rear extension and 1 no. front dormer window.,26 Pleydell Road Old Town Swindon SN1 4DH,S/HOU/21/1805,Wed 17 Nov 2021,Wed 17 Nov 2021,Application Granted
Certificate of Lawfulness (proposed) for the erection of a single storey rear extension and conversion of part of garage into living accommodation.,6 Furze Close Swindon SN5 5DB,S/LDP/21/1806,Wed 17 Nov 2021,Wed 17 Nov 2021,Application Granted
Erection of a two storey side/rear extension with dormer to rear.,8 Angelica Close Woodhall Park Swindon SN2 2TS,S/HOU/21/1798,Tue 16 Nov 2021,Fri 19 Nov 2021,Unknown
Works to BOS TPO-06-2009.,The Globe 28 - 29 Eastcott Road Old Town Swindon SN1 3LT,S/TPO/21/1800,Tue 16 Nov 2021,Tue 16 Nov 2021,Application Granted
Works to trees BOS TPO T2677 and T2678.,Blunsdon Caravan Park Main Drive Blunsdon Abbey Park Blunsdon Swindon SN25 2DU,S/TPO/21/1802,Tue 16 Nov 2021,Wed 17 Nov 2021,Application Granted
Erection of a single storey rear extension and dormer window to rear.,113 Sandringham Road Lawn Swindon SN3 1JF,S/HOU/21/1810,Mon 15 Nov 2021,Fri 19 Nov 2021,Application Granted
Erection of a detached garage/workshop,17 Norman Road Gorse Hill Swindon SN2 1AZ,S/HOU/21/1792,Mon 15 Nov 2021,Mon 15 Nov 2021,Unknown
Works to trees within BOT TPO No. 2 1976.,Haydonleigh Primary School Haydon Court Drive Haydon Wick Swindon SN25 1JP,S/TPO/21/1808,Mon 15 Nov 2021,Mon 15 Nov 2021,Application Granted
Certificate of Lawfulness (Proposed) for the erection of a single storey rear extension.,32 The Bramptons Shaw Swindon SN5 5SL,S/LDP/21/1790,Sat 13 Nov 2021,Sat 13 Nov 2021,Application Granted
Works to tree within BOSTPO-39-2010.,70 Winton Road Upper Stratton Swindon SN3 4XL,S/TPO/21/1782,Fri 12 Nov 2021,Fri 12 Nov 2021,Application Granted
Certificate of Lawfulness (Proposed) for the erection of a single storey side extension,38 Nyland Road Nythe Swindon SN3 3RD,S/LDP/21/1788,Fri 12 Nov 2021,Fri 12 Nov 2021,Application Granted
Works to tree within BOSTPO-55-2009.,10 Carlton Gate Broome Manor Swindon SN3 1NF,S/TPO/21/1781,Fri 12 Nov 2021,Fri 12 Nov 2021,Application Granted
Removal of 5no. additional hedgerows to facilitate new pipeline - revision to previous permission S/HRN/21/1158.,Fields Adjacent To Broad Bush Blunsdon Swindon,S/HRN/21/1789,Fri 12 Nov 2021,Fri 12 Nov 2021,Application Granted
"Erection of a single storey rear extension, new roof to garage and erection of a single storey front extension.",180 Windsor Road Lawn Swindon SN3 1LL,S/HOU/21/1785,Fri 12 Nov 2021,Fri 19 Nov 2021,Application Granted
"Replacement of an existing 15.0 metre high lattice tower with a 25.0 metre high slim-line lattice tower supporting 6 no. new antennas, 3 no. new No. 600mm diameter dishes, 1 no. relocated 600mm diameter dish, 10 no. equipment cabinets, plus associated ancillary works without compliance with condition 2 (Drawings & Documents) from previous permission S/TC/19/0696.",Fish Bros Penzance Drive Swindon SN5 7RX,S/21/1787,Fri 12 Nov 2021,Wed 17 Nov 2021,Application Withdrawn
Display of 4 no. fascia signs and 4 no. projecting signs.,"Units 4, 5, 7 And 8 Regent Circus Complex Victoria Road Old Town Swindon SN1 1FA",S/ADV/21/1778,Thu 11 Nov 2021,Wed 17 Nov 2021,Application Granted
Certificate of Lawfulness (proposed) for the replacement of cladding and render.,Paramount Beckhampton Street Swindon SN1 2SB,S/LDP/21/1775,Thu 11 Nov 2021,Thu 11 Nov 2021,Application Granted
