Title,Address,Ref No,Received Date,Validated Date,Status
Discharge of conditions 2 and 3 from Reserved Matters application S/RES/21/0007 - Erection of 188 no. dwellings and associated works - Reserved Matters from previous permission S/13/1524.,Parcel 4 The Orchards Wichelstowe Swindon,S/COND/22/0164,Fri 28 Jan 2022,Fri 28 Jan 2022,Registered
Erection of a replacement single storey rear extension.,The Steam Railway 14 Newport Street Old Town Swindon SN1 3DX,S/22/0161,Fri 28 Jan 2022,Fri 28 Jan 2022,Registered
"Non-material amendment to previous permission S/HOU/21/0337 regarding the retention of existing roof form to the original house together with retention of existing rear facing dormer, change to roof form to two-storey extension presented as two small hipped gables, omission of new zinc clad dormer, change of roofing material to single-storey extension from zinc to single ply high performance membrane (Sarna or equal) in grey colour, change of parapet to single storey extension from pressed metal coping to stone coping and removal of chimney to single storey extension.",227 Marlborough Road Swindon SN3 1NN,S/AMEND/22/0162,Fri 28 Jan 2022,Fri 28 Jan 2022,Registered
"Demolition of garage and summer house, and erection of 1no. detached dwelling, replacement garage and associated works.",Land At The Ferns Front Lane Blunsdon Swindon SN26 7BJ,S/22/0157,Thu 27 Jan 2022,Thu 27 Jan 2022,Registered
Certificate of lawfulness (Proposed) for the erection of a rear dormer window.,53 Cloche Way Stratton St Margaret Swindon SN2 7JL,S/LDP/22/0159,Thu 27 Jan 2022,Thu 27 Jan 2022,Registered
Erection of 2no. velux windows on the dwelling's rear roof slope to facilitate a loft conversion.,11 Falklands Road Wroughton Swindon SN4 0TH,S/HOU/22/0160,Thu 27 Jan 2022,Thu 27 Jan 2022,Registered
Works to trees in a conservation area.,Royal Oak Cues Lane Bishopstone Swindon SN6 8PP,S/TWC/22/0158,Thu 27 Jan 2022,Thu 27 Jan 2022,Registered
Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,8 Shropshire Close Ramleaze Swindon SN5 5SU,S/LDP/22/0145,Wed 26 Jan 2022,Wed 26 Jan 2022,Registered
"Conversion of garage into habitable space, associated works and construction of a widened dropped kerb.",112 Cassini Drive Oakhurst Swindon SN25 2LW,S/HOU/22/0150,Wed 26 Jan 2022,Thu 27 Jan 2022,Registered
Works to an ash tree within BOS TPO (No. 1) 1987.,19 Holliday Close Abbey Meads Swindon SN25 4YQ,S/TPO/22/0154,Wed 26 Jan 2022,Wed 26 Jan 2022,Registered
Works to trees in a conservation area.,Granary House 12 Whatleys Orchard Bishopstone Swindon SN6 8QB,S/TWC/22/0152,Tue 25 Jan 2022,Tue 25 Jan 2022,Registered
"Discharge of conditions 8 (Contamination), 9 (Remediation Scheme), 12 (Surface Water Drainage Scheme), 21 (Construction Method Statement), 25 (Landscape & Ecological Management Plan) and 26 (Arboricultural Monitoring Schedule) from previous permission S/20/1717.",Land At Langton Park Wroughton Swindon,S/COND/22/0144,Tue 25 Jan 2022,Tue 25 Jan 2022,Registered
