Serial No.,Brandname,Country,PRODUCT URL,Type,IMAGE URL,TITLE OF PRODUCT,PRICE Local,Local,Discount,Price USD,Description
1,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-black-rinse-regular-fit-jeans-8905409288030-black-rinse.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn004075_1.jpg,Wrangler Men Millard Black Rinse Regular Fit Jeans,2699,INR,,,"A classic pair of black rinse jeans to fit your needs—reward the ever-growing closet trend. Cut from breathable polyester and finished with five pockets, they’re finished with side and back pockets. Pair them with a tee and sneakers for a casual outing with the girls."
2,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-bio-indigo-regular-fit-jeans-8905409176696-bio-indigo.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002134_1.jpg,WRANGLER Men Millard Bio Indigo Regular Fit Jeans,1479,INR,2220,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
3,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-vegas-blue-skinny-fit-jeans-8905409008713-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w31837w22990_1.jpg,Wrangler Vegas Blue Skinny Fit Jeans,2799,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
4,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/9896/s/wrangler-millard-blue--regular-jeans-8905409009772_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/3/w32507w2298b_1.jpg,Wrangler Millard Blue  Regular Jeans,2399,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
5,WRANGLER,INDIA,https://www.wrangler.in/catalog/product/view/id/9884/s/wrangler-millard-blue--regular-jeans-8905409010136_blue/category/121/,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21645w2283g_1.jpg,Wrangler Millard Blue  Regular Jeans,2799,INR,,,"Enjoy the true pleasure of authentic denim with this tough pair of blue jeans from Wrangler. Well crafted in premium stretch fabric for superb flexibility, comfort and endurance, their regular fit design affords them a classic, relaxed look."
6,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-vegas-sleek-black-skinny-fit-jeans-8905409178850-sleek-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn002130_1.jpg,WRANGLER Men Vegas Sleek Black Skinny Fit Jeans,1079,INR,1620,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
7,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-men-millard-endless-blue-regular-fit-jeans-8905409283639-endless-blue.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/m/wmjn003254_1.jpg,Wrangler Men Millard Endless Blue Regular Fit Jeans,3599,INR,,,These slim-fit endless blue jeans made of buttery soft stretch denim keep them comfortable on your next run. They're whiskered and finished with five pockets so that they can be worn as a jacket or a casual top too.
8,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-skanders-black-slim-jeans-8905409009055-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21618w2201z_1.jpg,Wrangler Skanders Black Slim Jeans,2399,INR,,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
9,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-millard-black-regular-jeans-8905409009864-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21641w2201z_1.jpg,Wrangler Millard Black Regular Jeans,2399,INR,,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
10,WRANGLER,INDIA,https://www.wrangler.in/men/bottomwear/jeans/wrangler-texas-black-comfort-jeans-8905409010426-black.html,MJ,https://www.wrangler.in/media/catalog/product/cache/193154cd17fe5f24ce1d9518bf8b29a9/w/2/w21600w2201z_1.jpg,Wrangler Texas Black Comfort Jeans,2399,INR,,,"Enjoy the rough and tumble of quality denim with this stunning pair of black jeans from the house of Wrangler. Masterfully tailored in premium stretch fabric for superb flexibility, comfort and endurance, their slim fit with a low rise design is engineered on modern fashion trends."
